,trial number,sensor position,sample num,sensor value,subject identifier,matching condition,channel,name,time
5,4,FP1,0,-4.283,c,S1 obj,0,co2c0000340,0.0
6,4,FP1,1,0.112,c,S1 obj,0,co2c0000340,0.00390625
7,4,FP1,2,3.53,c,S1 obj,0,co2c0000340,0.0078125
8,4,FP1,3,4.995,c,S1 obj,0,co2c0000340,0.01171875
9,4,FP1,4,4.506,c,S1 obj,0,co2c0000340,0.015625
10,4,FP1,5,3.042,c,S1 obj,0,co2c0000340,0.01953125
11,4,FP1,6,2.065,c,S1 obj,0,co2c0000340,0.0234375
12,4,FP1,7,2.065,c,S1 obj,0,co2c0000340,0.02734375
13,4,FP1,8,2.553,c,S1 obj,0,co2c0000340,0.03125
14,4,FP1,9,2.553,c,S1 obj,0,co2c0000340,0.03515625
15,4,FP1,10,2.065,c,S1 obj,0,co2c0000340,0.0390625
16,4,FP1,11,1.577,c,S1 obj,0,co2c0000340,0.04296875
17,4,FP1,12,2.553,c,S1 obj,0,co2c0000340,0.046875
18,4,FP1,13,4.506,c,S1 obj,0,co2c0000340,0.05078125
19,4,FP1,14,6.948,c,S1 obj,0,co2c0000340,0.0546875
20,4,FP1,15,6.948,c,S1 obj,0,co2c0000340,0.05859375
21,4,FP1,16,3.53,c,S1 obj,0,co2c0000340,0.0625
22,4,FP1,17,-2.818,c,S1 obj,0,co2c0000340,0.06640625
23,4,FP1,18,-8.189,c,S1 obj,0,co2c0000340,0.0703125
24,4,FP1,19,-10.142,c,S1 obj,0,co2c0000340,0.07421875
25,4,FP1,20,-7.701,c,S1 obj,0,co2c0000340,0.078125
26,4,FP1,21,-3.306,c,S1 obj,0,co2c0000340,0.08203125
27,4,FP1,22,1.088,c,S1 obj,0,co2c0000340,0.0859375
28,4,FP1,23,3.53,c,S1 obj,0,co2c0000340,0.08984375
29,4,FP1,24,4.995,c,S1 obj,0,co2c0000340,0.09375
30,4,FP1,25,5.971,c,S1 obj,0,co2c0000340,0.09765625
31,4,FP1,26,5.971,c,S1 obj,0,co2c0000340,0.1015625
32,4,FP1,27,3.53,c,S1 obj,0,co2c0000340,0.10546875
33,4,FP1,28,-1.353,c,S1 obj,0,co2c0000340,0.109375
34,4,FP1,29,-6.724,c,S1 obj,0,co2c0000340,0.11328125
35,4,FP1,30,-8.677,c,S1 obj,0,co2c0000340,0.1171875
36,4,FP1,31,-5.747,c,S1 obj,0,co2c0000340,0.12109375
37,4,FP1,32,0.112,c,S1 obj,0,co2c0000340,0.125
38,4,FP1,33,6.948,c,S1 obj,0,co2c0000340,0.12890625
39,4,FP1,34,9.878,c,S1 obj,0,co2c0000340,0.1328125
40,4,FP1,35,8.413,c,S1 obj,0,co2c0000340,0.13671875
41,4,FP1,36,4.995,c,S1 obj,0,co2c0000340,0.140625
42,4,FP1,37,1.088,c,S1 obj,0,co2c0000340,0.14453125
43,4,FP1,38,-0.865,c,S1 obj,0,co2c0000340,0.1484375
44,4,FP1,39,-2.33,c,S1 obj,0,co2c0000340,0.15234375
45,4,FP1,40,-2.818,c,S1 obj,0,co2c0000340,0.15625
46,4,FP1,41,-3.306,c,S1 obj,0,co2c0000340,0.16015625
47,4,FP1,42,-2.818,c,S1 obj,0,co2c0000340,0.1640625
48,4,FP1,43,-1.353,c,S1 obj,0,co2c0000340,0.16796875
49,4,FP1,44,0.6,c,S1 obj,0,co2c0000340,0.171875
50,4,FP1,45,1.577,c,S1 obj,0,co2c0000340,0.17578125
51,4,FP1,46,2.553,c,S1 obj,0,co2c0000340,0.1796875
52,4,FP1,47,2.065,c,S1 obj,0,co2c0000340,0.18359375
53,4,FP1,48,2.065,c,S1 obj,0,co2c0000340,0.1875
54,4,FP1,49,1.577,c,S1 obj,0,co2c0000340,0.19140625
55,4,FP1,50,0.112,c,S1 obj,0,co2c0000340,0.1953125
56,4,FP1,51,-1.353,c,S1 obj,0,co2c0000340,0.19921875
57,4,FP1,52,-2.33,c,S1 obj,0,co2c0000340,0.203125
58,4,FP1,53,-1.353,c,S1 obj,0,co2c0000340,0.20703125
59,4,FP1,54,1.577,c,S1 obj,0,co2c0000340,0.2109375
60,4,FP1,55,4.995,c,S1 obj,0,co2c0000340,0.21484375
61,4,FP1,56,7.436,c,S1 obj,0,co2c0000340,0.21875
62,4,FP1,57,6.46,c,S1 obj,0,co2c0000340,0.22265625
63,4,FP1,58,3.042,c,S1 obj,0,co2c0000340,0.2265625
64,4,FP1,59,-0.865,c,S1 obj,0,co2c0000340,0.23046875
65,4,FP1,60,-3.306,c,S1 obj,0,co2c0000340,0.234375
66,4,FP1,61,-3.794,c,S1 obj,0,co2c0000340,0.23828125
67,4,FP1,62,-4.283,c,S1 obj,0,co2c0000340,0.2421875
68,4,FP1,63,-5.259,c,S1 obj,0,co2c0000340,0.24609375
69,4,FP1,64,-5.747,c,S1 obj,0,co2c0000340,0.25
70,4,FP1,65,-4.771,c,S1 obj,0,co2c0000340,0.25390625
71,4,FP1,66,-1.841,c,S1 obj,0,co2c0000340,0.2578125
72,4,FP1,67,2.065,c,S1 obj,0,co2c0000340,0.26171875
73,4,FP1,68,3.53,c,S1 obj,0,co2c0000340,0.265625
74,4,FP1,69,3.042,c,S1 obj,0,co2c0000340,0.26953125
75,4,FP1,70,1.577,c,S1 obj,0,co2c0000340,0.2734375
76,4,FP1,71,2.553,c,S1 obj,0,co2c0000340,0.27734375
77,4,FP1,72,6.46,c,S1 obj,0,co2c0000340,0.28125
78,4,FP1,73,11.342,c,S1 obj,0,co2c0000340,0.28515625
79,4,FP1,74,13.295,c,S1 obj,0,co2c0000340,0.2890625
80,4,FP1,75,11.342,c,S1 obj,0,co2c0000340,0.29296875
81,4,FP1,76,6.46,c,S1 obj,0,co2c0000340,0.296875
82,4,FP1,77,2.065,c,S1 obj,0,co2c0000340,0.30078125
83,4,FP1,78,0.6,c,S1 obj,0,co2c0000340,0.3046875
84,4,FP1,79,1.577,c,S1 obj,0,co2c0000340,0.30859375
85,4,FP1,80,3.53,c,S1 obj,0,co2c0000340,0.3125
86,4,FP1,81,4.018,c,S1 obj,0,co2c0000340,0.31640625
87,4,FP1,82,2.553,c,S1 obj,0,co2c0000340,0.3203125
88,4,FP1,83,0.6,c,S1 obj,0,co2c0000340,0.32421875
89,4,FP1,84,-0.376,c,S1 obj,0,co2c0000340,0.328125
90,4,FP1,85,-0.865,c,S1 obj,0,co2c0000340,0.33203125
91,4,FP1,86,-1.353,c,S1 obj,0,co2c0000340,0.3359375
92,4,FP1,87,-0.865,c,S1 obj,0,co2c0000340,0.33984375
93,4,FP1,88,1.088,c,S1 obj,0,co2c0000340,0.34375
94,4,FP1,89,4.506,c,S1 obj,0,co2c0000340,0.34765625
95,4,FP1,90,7.436,c,S1 obj,0,co2c0000340,0.3515625
96,4,FP1,91,8.413,c,S1 obj,0,co2c0000340,0.35546875
97,4,FP1,92,6.46,c,S1 obj,0,co2c0000340,0.359375
98,4,FP1,93,2.553,c,S1 obj,0,co2c0000340,0.36328125
99,4,FP1,94,-0.376,c,S1 obj,0,co2c0000340,0.3671875
100,4,FP1,95,-0.865,c,S1 obj,0,co2c0000340,0.37109375
101,4,FP1,96,0.6,c,S1 obj,0,co2c0000340,0.375
102,4,FP1,97,3.042,c,S1 obj,0,co2c0000340,0.37890625
103,4,FP1,98,4.506,c,S1 obj,0,co2c0000340,0.3828125
104,4,FP1,99,4.506,c,S1 obj,0,co2c0000340,0.38671875
105,4,FP1,100,4.018,c,S1 obj,0,co2c0000340,0.390625
106,4,FP1,101,3.53,c,S1 obj,0,co2c0000340,0.39453125
107,4,FP1,102,3.53,c,S1 obj,0,co2c0000340,0.3984375
108,4,FP1,103,3.53,c,S1 obj,0,co2c0000340,0.40234375
109,4,FP1,104,2.553,c,S1 obj,0,co2c0000340,0.40625
110,4,FP1,105,1.577,c,S1 obj,0,co2c0000340,0.41015625
111,4,FP1,106,0.6,c,S1 obj,0,co2c0000340,0.4140625
112,4,FP1,107,0.112,c,S1 obj,0,co2c0000340,0.41796875
113,4,FP1,108,0.112,c,S1 obj,0,co2c0000340,0.421875
114,4,FP1,109,0.112,c,S1 obj,0,co2c0000340,0.42578125
115,4,FP1,110,-0.376,c,S1 obj,0,co2c0000340,0.4296875
116,4,FP1,111,-1.841,c,S1 obj,0,co2c0000340,0.43359375
117,4,FP1,112,-3.794,c,S1 obj,0,co2c0000340,0.4375
