,trial number,sensor position,sample num,sensor value,subject identifier,matching condition,channel,name,time
5,6,FP1,0,-2.197,c,S1 obj,0,co2c0000342,0.0
6,6,FP1,1,-2.197,c,S1 obj,0,co2c0000342,0.00390625
7,6,FP1,2,-2.686,c,S1 obj,0,co2c0000342,0.0078125
8,6,FP1,3,-4.15,c,S1 obj,0,co2c0000342,0.01171875
9,6,FP1,4,-6.592,c,S1 obj,0,co2c0000342,0.015625
10,6,FP1,5,-7.568,c,S1 obj,0,co2c0000342,0.01953125
11,6,FP1,6,-7.08,c,S1 obj,0,co2c0000342,0.0234375
12,6,FP1,7,-4.639,c,S1 obj,0,co2c0000342,0.02734375
13,6,FP1,8,-1.221,c,S1 obj,0,co2c0000342,0.03125
14,6,FP1,9,0.732,c,S1 obj,0,co2c0000342,0.03515625
15,6,FP1,10,1.709,c,S1 obj,0,co2c0000342,0.0390625
16,6,FP1,11,1.221,c,S1 obj,0,co2c0000342,0.04296875
17,6,FP1,12,-0.732,c,S1 obj,0,co2c0000342,0.046875
18,6,FP1,13,-2.686,c,S1 obj,0,co2c0000342,0.05078125
19,6,FP1,14,-4.15,c,S1 obj,0,co2c0000342,0.0546875
20,6,FP1,15,-4.15,c,S1 obj,0,co2c0000342,0.05859375
21,6,FP1,16,-3.662,c,S1 obj,0,co2c0000342,0.0625
22,6,FP1,17,-4.15,c,S1 obj,0,co2c0000342,0.06640625
23,6,FP1,18,-5.615,c,S1 obj,0,co2c0000342,0.0703125
24,6,FP1,19,-9.033,c,S1 obj,0,co2c0000342,0.07421875
25,6,FP1,20,-11.475,c,S1 obj,0,co2c0000342,0.078125
26,6,FP1,21,-13.428,c,S1 obj,0,co2c0000342,0.08203125
27,6,FP1,22,-12.939,c,S1 obj,0,co2c0000342,0.0859375
28,6,FP1,23,-11.475,c,S1 obj,0,co2c0000342,0.08984375
29,6,FP1,24,-9.521,c,S1 obj,0,co2c0000342,0.09375
30,6,FP1,25,-9.033,c,S1 obj,0,co2c0000342,0.09765625
31,6,FP1,26,-10.498,c,S1 obj,0,co2c0000342,0.1015625
32,6,FP1,27,-12.451,c,S1 obj,0,co2c0000342,0.10546875
33,6,FP1,28,-12.939,c,S1 obj,0,co2c0000342,0.109375
34,6,FP1,29,-11.963,c,S1 obj,0,co2c0000342,0.11328125
35,6,FP1,30,-8.057,c,S1 obj,0,co2c0000342,0.1171875
36,6,FP1,31,-4.639,c,S1 obj,0,co2c0000342,0.12109375
37,6,FP1,32,-1.221,c,S1 obj,0,co2c0000342,0.125
38,6,FP1,33,0.732,c,S1 obj,0,co2c0000342,0.12890625
39,6,FP1,34,0.732,c,S1 obj,0,co2c0000342,0.1328125
40,6,FP1,35,0.244,c,S1 obj,0,co2c0000342,0.13671875
41,6,FP1,36,-0.244,c,S1 obj,0,co2c0000342,0.140625
42,6,FP1,37,-1.709,c,S1 obj,0,co2c0000342,0.14453125
43,6,FP1,38,-3.662,c,S1 obj,0,co2c0000342,0.1484375
44,6,FP1,39,-5.615,c,S1 obj,0,co2c0000342,0.15234375
45,6,FP1,40,-7.568,c,S1 obj,0,co2c0000342,0.15625
46,6,FP1,41,-8.545,c,S1 obj,0,co2c0000342,0.16015625
47,6,FP1,42,-8.545,c,S1 obj,0,co2c0000342,0.1640625
48,6,FP1,43,-7.568,c,S1 obj,0,co2c0000342,0.16796875
49,6,FP1,44,-6.104,c,S1 obj,0,co2c0000342,0.171875
50,6,FP1,45,-5.127,c,S1 obj,0,co2c0000342,0.17578125
51,6,FP1,46,-5.127,c,S1 obj,0,co2c0000342,0.1796875
52,6,FP1,47,-5.127,c,S1 obj,0,co2c0000342,0.18359375
53,6,FP1,48,-5.127,c,S1 obj,0,co2c0000342,0.1875
54,6,FP1,49,-5.127,c,S1 obj,0,co2c0000342,0.19140625
55,6,FP1,50,-3.662,c,S1 obj,0,co2c0000342,0.1953125
56,6,FP1,51,-2.197,c,S1 obj,0,co2c0000342,0.19921875
57,6,FP1,52,-1.221,c,S1 obj,0,co2c0000342,0.203125
58,6,FP1,53,-0.244,c,S1 obj,0,co2c0000342,0.20703125
59,6,FP1,54,-0.732,c,S1 obj,0,co2c0000342,0.2109375
60,6,FP1,55,-1.221,c,S1 obj,0,co2c0000342,0.21484375
61,6,FP1,56,-1.221,c,S1 obj,0,co2c0000342,0.21875
62,6,FP1,57,-1.221,c,S1 obj,0,co2c0000342,0.22265625
63,6,FP1,58,-0.732,c,S1 obj,0,co2c0000342,0.2265625
64,6,FP1,59,-0.244,c,S1 obj,0,co2c0000342,0.23046875
65,6,FP1,60,-0.732,c,S1 obj,0,co2c0000342,0.234375
66,6,FP1,61,-1.709,c,S1 obj,0,co2c0000342,0.23828125
67,6,FP1,62,-2.686,c,S1 obj,0,co2c0000342,0.2421875
68,6,FP1,63,-3.662,c,S1 obj,0,co2c0000342,0.24609375
69,6,FP1,64,-3.662,c,S1 obj,0,co2c0000342,0.25
70,6,FP1,65,-3.662,c,S1 obj,0,co2c0000342,0.25390625
71,6,FP1,66,-4.639,c,S1 obj,0,co2c0000342,0.2578125
72,6,FP1,67,-5.615,c,S1 obj,0,co2c0000342,0.26171875
73,6,FP1,68,-7.08,c,S1 obj,0,co2c0000342,0.265625
74,6,FP1,69,-7.08,c,S1 obj,0,co2c0000342,0.26953125
75,6,FP1,70,-7.568,c,S1 obj,0,co2c0000342,0.2734375
76,6,FP1,71,-6.592,c,S1 obj,0,co2c0000342,0.27734375
